Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1661356362,50,GET,orders-pythonanywhere,1.000000,0.000000,16000,17000,17000,17000,19000,19000,19000,19000,19000,19000,19000,49,0,15000.0,13845.43767142857,4212.772800000002,19358.4752,35483.0
1661356362,50,GET,users-docker,17.100000,0.000000,560,680,770,820,1000,1300,1700,2000,2100,2100,2100,1282,0,530.0,600.0296669266766,27.584099999998557,4574.3349,2.0
1661356362,50,GET,users-pythonanywhere,0.400000,0.000000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,42,0,15000.0,13973.152802380955,5330.935,18593.004300000004,28519.0
1661356362,50,,Aggregated,33.700000,0.000000,590,740,860,970,1300,1800,16000,17000,19000,19000,19000,2587,0,540.0,1062.2148391959793,27.206500000000133,19358.4752,1137.0146888287593
1661356367,50,GET,orders-docker,20.000000,0.000000,480,570,650,680,810,1000,1300,1500,1800,1800,1800,1318,0,530.0,582.3816638088017,27.206500000000133,4024.695300000001,2.0
1661356367,50,GET,orders-pythonanywhere,0.600000,0.000000,17000,17000,19000,19000,19000,19000,19000,19000,19000,19000,19000,52,0,15000.0,14079.405382692308,4212.772800000002,19358.4752,35483.0
1661356367,50,GET,users-docker,21.900000,0.000000,480,560,610,650,780,930,1200,1600,1800,1800,1800,1412,0,520.0,593.7192463172801,27.584099999998557,4574.3349,2.0
1661356367,50,GET,users-pythonanywhere,0.900000,0.000000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,47,0,16000.0,14312.865921276596,5330.935,18593.004300000004,28519.0
1661356367,50,,Aggregated,43.400000,0.000000,490,580,650,690,870,1300,17000,17000,19000,19000,19000,2829,0,540.0,1064.243332237539,27.206500000000133,19358.4752,1127.9494521032166
1661356372,50,GET,orders-docker,22.800000,0.000000,480,570,630,640,710,780,970,1000,1300,1300,1300,1429,0,520.0,576.9276426871946,27.206500000000133,4024.695300000001,2.0
1661356372,50,GET,orders-pythonanywhere,0.700000,0.000000,17000,17000,19000,19000,19000,19000,19000,19000,19000,19000,19000,56,0,15000.0,14219.47305357143,4212.772800000002,19358.4752,35483.0
1661356372,50,GET,users-docker,25.300000,0.000000,500,600,650,680,800,900,1000,1100,1200,1200,1200,1540,0,520.0,590.0219096753242,27.584099999998557,4574.3349,2.0
1661356372,50,GET,users-pythonanywhere,0.800000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,50,0,16000.0,14336.652248000002,5330.935,18593.004300000004,28519.0
1661356372,50,,Aggregated,49.600000,0.000000,500,600,650,680,810,1000,17000,17000,19000,19000,19000,3075,0,530.0,1055.670388845528,27.206500000000133,19358.4752,1111.8491056910568
1661356377,50,GET,orders-docker,23.600000,0.000000,480,550,600,640,710,850,950,960,1100,1100,1100,1562,0,510.0,570.1609028169023,27.206500000000133,4024.695300000001,2.0
1661356377,50,GET,orders-pythonanywhere,0.800000,0.000000,17000,19000,21000,21000,21000,21000,21000,21000,21000,21000,21000,60,0,15000.0,14439.455388333334,4212.772800000002,20915.1679,35483.0
1661356377,50,GET,users-docker,24.600000,0.000000,510,590,630,660,770,880,940,970,1200,1200,1200,1647,0,520.0,585.3163398299939,27.584099999998557,4574.3349,2.0
1661356377,50,GET,users-pythonanywhere,0.700000,0.000000,17000,18000,19000,19000,22000,22000,22000,22000,22000,22000,22000,54,0,16000.0,14649.684929629633,5330.935,21544.20330000001,28519.0
1661356377,50,,Aggregated,49.700000,0.000000,500,570,630,660,830,950,15000,19000,22000,22000,22000,3323,0,530.0,1056.8936657839297,27.206500000000133,21544.20330000001,1106.0559735179056
1661356382,50,GET,orders-docker,22.500000,0.000000,550,640,710,800,940,1000,1100,1300,1400,1400,1400,1638,0,520.0,576.1627440170948,27.206500000000133,4024.695300000001,2.0
1661356382,50,GET,orders-pythonanywhere,0.700000,0.000000,17000,18000,21000,21000,21000,21000,21000,21000,21000,21000,21000,64,0,15000.0,14586.183387500001,4212.772800000002,20915.1679,35483.0
1661356382,50,GET,users-docker,21.800000,0.000000,590,720,810,860,970,1200,1300,1400,1400,1400,1400,1747,0,530.0,594.1621532341153,27.584099999998557,4574.3349,2.0
1661356382,50,GET,users-pythonanywhere,0.800000,0.000000,18000,18000,19000,19000,22000,22000,22000,22000,22000,22000,22000,57,0,16000.0,14759.726726315792,5330.935,21544.20330000001,28519.0
1661356382,50,,Aggregated,45.800000,0.000000,570,690,800,860,1000,1300,17000,19000,22000,22000,22000,3506,0,530.0,1071.4706265259547,27.206500000000133,21544.20330000001,1113.3100399315458
1661356387,50,GET,orders-docker,17.300000,0.000000,770,920,1000,1000,1200,1300,1400,1500,2600,2600,2600,1715,0,530.0,586.9142657142864,27.206500000000133,4024.695300000001,2.0
1661356387,50,GET,orders-pythonanywhere,0.700000,0.000000,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,68,0,16000.0,14714.56580882353,4212.772800000002,20915.1679,35483.0
1661356387,50,GET,users-docker,20.800000,0.000000,720,830,900,930,1100,1300,1500,1600,1700,1700,1700,1832,0,530.0,599.5095055131001,27.584099999998557,4574.3349,2.0
1661356387,50,GET,users-pythonanywhere,0.600000,0.000000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,60,0,16000.0,14881.675015000003,5330.935,21544.20330000001,28519.0
1661356387,50,,Aggregated,39.400000,0.000000,750,890,980,1000,1300,1600,17000,17000,18000,18000,18000,3675,0,540.0,1087.9864913469378,27.206500000000133,21544.20330000001,1124.1028571428571
1661356392,50,GET,orders-docker,16.800000,0.000000,600,720,820,940,1100,1300,1400,1500,2600,2600,2600,1828,0,530.0,585.1956984135669,27.206500000000133,4024.695300000001,2.0
1661356392,50,GET,orders-pythonanywhere,0.700000,0.000000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,70,0,16000.0,14826.477965714286,4212.772800000002,20915.1679,35483.0
1661356392,50,GET,users-docker,19.500000,0.000000,550,640,720,760,910,1000,1500,1600,1700,1700,1700,1952,0,530.0,594.8295644467212,27.584099999998557,4574.3349,2.0
1661356392,50,GET,users-pythonanywhere,0.700000,0.000000,17000,17000,17000,17000,19000,19000,19000,19000,19000,19000,19000,66,0,16000.0,15044.230263636364,5330.935,21544.20330000001,28519.0
1661356392,50,,Aggregated,37.700000,0.000000,590,710,800,900,1100,1500,17000,18000,19000,19000,19000,3916,0,540.0,1088.2578400153202,27.206500000000133,21544.20330000001,1116.8600612870275
1661356397,50,GET,orders-docker,21.600000,0.000000,520,590,630,660,820,950,1100,1100,1200,1200,1200,1942,0,530.0,583.2276212152422,27.206500000000133,4024.695300000001,2.0
1661356397,50,GET,orders-pythonanywhere,0.500000,0.000000,18000,18000,19000,19000,19000,19000,19000,19000,19000,19000,19000,71,0,16000.0,14827.562785915492,4212.772800000002,20915.1679,35483.0
1661356397,50,GET,users-docker,20.500000,0.000000,520,580,640,660,760,910,930,1000,1200,1200,1200,2062,0,530.0,593.2811163918527,27.584099999998557,4574.3349,2.0
1661356397,50,GET,users-pythonanywhere,1.100000,0.000000,17000,19000,19000,19000,19000,22000,22000,22000,22000,22000,22000,73,0,16000.0,15246.754956164381,5330.935,21940.1323,28519.0
1661356397,50,,Aggregated,43.700000,0.000000,530,600,640,700,870,1100,16000,19000,22000,22000,22000,4148,0,540.0,1090.1021629701047,27.206500000000133,21940.1323,1111.1832208293154
1661356402,50,GET,orders-docker,20.400000,0.000000,540,630,720,800,940,1100,1400,1500,2400,2400,2400,2033,0,530.0,584.462596556813,27.206500000000133,4024.695300000001,2.0
1661356402,50,GET,orders-pythonanywhere,0.400000,0.000000,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000,74,0,16000.0,14879.913206756757,4212.772800000002,20915.1679,35483.0
1661356402,50,GET,users-docker,21.100000,0.000000,580,720,810,870,1000,1200,1500,1600,1700,1700,1700,2144,0,530.0,598.3460259794774,27.584099999998557,4574.3349,2.0
1661356402,50,GET,users-pythonanywhere,1.200000,0.000000,16000,17000,19000,19000,19000,22000,22000,22000,22000,22000,22000,79,0,16000.0,15253.185377215188,5330.935,21940.1323,28519.0
1661356402,50,,Aggregated,43.100000,0.000000,580,700,820,880,1100,1600,16000,19000,22000,22000,22000,4330,0,540.0,1103.2751872055385,27.206500000000133,21940.1323,1128.6598152424942
1661356407,50,GET,orders-docker,21.200000,0.000000,480,590,700,740,940,1300,1600,2500,3700,3700,3700,2163,0,520.0,585.415283911235,27.206500000000133,4024.695300000001,2.0
